bunny1ov3r,Guilty Crown,10793,8
bunny1ov3r,C: The Money of Soul and Possibility Control,10163,8
bunny1ov3r,Masamune-kun no Revenge,33487,5
BWwolf47,Tokyo Ghoul √A,27899,4
BWwolf47,Guilty Crown,10793,8
BWwolf47,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,8
Caleb_Marvell,Sword Art Online,11757,9
Caleb_Marvell,Highschool of the Dead,8074,8
Caleb_Marvell,Shuffle!,79,9
Caleb_Marvell,B-gata H-kei,7817,8
Caleb_Marvell,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,9
camay1997,Aldnoah.Zero,22729,9
camay1997,Akame ga Kill!,22199,9
camay1997,Mahouka Koukou no Rettousei,20785,7
camay1997,Rokka no Yuusha,28497,4
camay1997,Juuni Taisen,35076,7
camay1997,Dragon Ball Super,30694,7
camay1997,Darling in the FranXX,35849,5
camay1997,B-gata H-kei,7817,7
camay1997,Masamune-kun no Revenge,33487,6
camay1997,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,8
CanAKATheIndigo,Juuni Taisen,35076,4
CanAKATheIndigo,Dragon Ball Super,30694,6
CanAKATheIndigo,Goblin Slayer,37349,6
CanAKATheIndigo,Isekai wa Smartphone to Tomo ni.,35203,1
CanAKATheIndigo,Kuzu no Honkai,32949,8
captjoe213,Akame ga Kill!,22199,8
captjoe213,High School DxD,11617,9
captjoe213,B-gata H-kei,7817,8
cardcaptorkyo,Guilty Crown,10793,7
cardcaptorkyo,Elfen Lied,226,7
cardcaptorkyo,Highschool of the Dead,8074,4
carnage_panda,Highschool of the Dead,8074,7
carnage_panda,Akame ga Kill!,22199,9
carnage_panda,Accel World,11759,9
CecaniahCorabele,Sword Art Online II,21881,5
CecaniahCorabele,C: The Money of Soul and Possibility Control,10163,7
CecaniahCorabele,Btooom!,14345,6
Chaosprince829,Sword Art Online,11757,10
Chaosprince829,Sword Art Online II,21881,10
Chaosprince829,Gamers!,34280,9
Charliegone,Blood-C,10490,7
Charliegone,Guilty Crown,10793,4
Charliegone,High School DxD,11617,7
CheckList,Sword Art Online,11757,9
CheckList,IS: Infinite Stratos,9041,7
CheckList,Accel World,11759,6
ChoocoboYao,Guilty Crown,10793,5
ChoocoboYao,Rakudai Kishi no Cavalry,30296,7
ChoocoboYao,Koutetsujou no Kabaneri,28623,7
chrisA15,Sword Art Online II,21881,5
chrisA15,Highschool of the Dead,8074,5
chrisA15,Sword Art Online,11757,6
chrisA15,Baka to Test to Shoukanjuu,6347,7
Chris_Concept,Rokka no Yuusha,28497,7
Chris_Concept,Absolute Duo,25397,4
Chris_Concept,Akame ga Kill!,22199,6
Chris_Concept,Himouto! Umaru-chan,28825,5
ChucriBZ,Highschool of the Dead,8074,8
ChucriBZ,Zero no Tsukaima,1195,7
ChucriBZ,B-gata H-kei,7817,7
CobaltSigma,Akame ga Kill!,22199,3
CobaltSigma,Aldnoah.Zero,22729,5
CobaltSigma,Fate/stay night,356,4
CodeBlazeFate,Koutetsujou no Kabaneri,28623,5
CodeBlazeFate,Sword Art Online,11757,5
CodeBlazeFate,Sword Art Online II,21881,7
CodeBlazeFate,Mahouka Koukou no Rettousei,20785,1
CodeBlazeFate,Akame ga Kill!,22199,4
CodeBlazeFate,Re:Creators,34561,8
CodeBlazeFate,Fate/Apocrypha,34662,4
CodeBlazeFate,Rakudai Kishi no Cavalry,30296,7
CodeBlazeFate,Darling in the FranXX,35849,2
CodeBlazeFate,One Punch Man 2nd Season,34134,3
CodeBlazeFate,Arifureta Shokugyou de Sekai Saikyou,36882,1
CodeBlazeFate,Aldnoah.Zero,22729,4
CodeBlazeFate,Isekai wa Smartphone to Tomo ni.,35203,1
CodeBlazeFate,Death March kara Hajimaru Isekai Kyousoukyoku,34497,5
colonelpanic,Blood-C,10490,6
colonelpanic,Deadman Wonderland,6880,3
colonelpanic,Black Bullet,20787,8
connielas,IS: Infinite Stratos,9041,6
connielas,Highschool of the Dead,8074,4
connielas,Sword Art Online,11757,6
CoolBreeze,Sword Art Online,11757,10
CoolBreeze,Guilty Crown,10793,10
CoolBreeze,Highschool of the Dead,8074,9
CoolBreeze,IS: Infinite Stratos,9041,7
CoolBreeze,Shuffle!,79,8
CoolBreeze,B-gata H-kei,7817,8
Crashmatt,Akame ga Kill!,22199,8
Crashmatt,Btooom!,14345,7
Crashmatt,Deadman Wonderland,6880,7
CrimsonNavy,Fate/Apocrypha,34662,2
CrimsonNavy,Juuni Taisen,35076,5
CrimsonNavy,Darling in the FranXX,35849,2
CrusaderElly,Tokyo Ghoul √A,27899,3
CrusaderElly,Fate/Apocrypha,34662,6
CrusaderElly,Fate/stay night,356,6
CrusaderElly,Akame ga Kill!,22199,6
CrusaderElly,Dragon Ball Super,30694,6
CyberSpeek,Elfen Lied,226,10
CyberSpeek,Highschool of the Dead,8074,6
CyberSpeek,Btooom!,14345,7
Cyborg_Dragon,Mahouka Koukou no Rettousei,20785,6
Cyborg_Dragon,Tokyo Ghoul √A,27899,7
Cyborg_Dragon,Koutetsujou no Kabaneri,28623,7
dadnaya,Mahouka Koukou no Rettousei,20785,8
dadnaya,Juuni Taisen,35076,4
dadnaya,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,2
daimonfo,Absolute Duo,25397,5
daimonfo,Highschool of the Dead,8074,9
daimonfo,IS: Infinite Stratos,9041,7
daimonfo,Zero no Tsukaima,1195,9
daimonfo,Rakudai Kishi no Cavalry,30296,10
daimonfo,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,8
Dalek_of_Skaro,Btooom!,14345,9
Dalek_of_Skaro,Elfen Lied,226,8
Dalek_of_Skaro,K,14467,9
DannieOne,Sword Art Online,11757,10
DannieOne,Sword Art Online II,21881,9
DannieOne,Guilty Crown,10793,9
DannieOne,Rakudai Kishi no Cavalry,30296,9
DannieOne,High School DxD,11617,10
DannieOne,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,7
Dante012,Sword Art Online,11757,8
Dante012,Fate/stay night,356,8
Dante012,Boruto: Naruto Next Generations,34566,1
Dante012,Dragon Ball Super,30694,1
Dante012,Fate/Apocrypha,34662,4
Dante012,One Punch Man 2nd Season,34134,3
Dante012,Sword Art Online: Alicization,36474,4
Dante012,Eromanga-sensei,32901,7
